,time,evlo,evla,dep,mag
186,2010-4-08 17:53:07,86.87,44.26,11,0.6
187,2010-4-07 04:37:26,86.74,43.67,15,0.3
188,2010-4-04 23:35:35,87.18,43.63,5,0.6
189,2010-4-04 18:50:27,86.85,43.89,17,0.5
190,2010-4-03 10:37:29,86.99,43.87,10,0.4
191,2010-4-03 08:45:06,87.13,43.72,9,0.5
192,2010-4-03 08:15:39,87.11,43.75,5,0.8
193,2010-3-31 21:16:59,87.06,44.29,13,0.6
194,2010-3-31 20:26:59,87.43,43.79,4,0.4
195,2010-3-26 07:25:04,86.90,43.99,6,2.0
196,2010-3-25 15:04:21,87.36,43.69,6,0.1
197,2010-3-21 22:16:11,86.87,44.19,10,0.3
198,2010-3-21 21:53:55,86.96,43.80,6,0.4
199,2010-3-21 16:46:49,86.96,44.24,5,0.6
200,2010-3-21 16:39:40,86.94,44.08,10,1.0
201,2010-3-19 18:34:59,87.14,43.68,5,0.4
202,2010-3-19 13:23:14,86.83,44.26,5,0.9
203,2010-3-18 05:01:05,86.85,44.13,7,0.8
204,2010-3-18 05:00:25,86.92,44.14,8,1.0
205,2010-3-18 01:35:49,86.86,43.70,11,0.3
206,2010-3-17 16:23:39,86.98,44.25,8,1.2
207,2010-3-17 08:06:03,86.82,44.20,8,0.5
208,2010-3-17 08:05:01,87.03,44.28,5,0.3
209,2010-3-17 07:50:47,86.90,44.04,10,0.9
210,2010-3-17 06:03:17,86.64,43.72,7,0.3
211,2010-3-16 22:34:35,87.04,44.38,8,0.7
212,2010-3-16 20:36:20,87.02,44.28,3,0.6
213,2010-3-16 20:03:05,86.91,44.25,9,0.6
214,2010-3-16 19:30:23,86.90,44.23,8,1.2
215,2010-3-16 19:10:14,87.01,44.27,7,1.3
216,2010-3-16 11:32:05,86.98,44.22,9,1.0
217,2010-3-16 10:04:36,86.91,44.23,7,0.5
218,2010-3-16 09:58:03,86.94,44.07,4,0.9
219,2010-3-16 05:05:33,86.91,44.07,10,0.8
220,2010-3-16 03:06:35,86.93,44.23,6,0.6
221,2010-3-15 21:49:24,86.96,44.18,10,0.5
222,2010-3-15 21:14:51,86.91,44.18,6,1.5
223,2010-3-15 15:07:29,86.93,44.27,8,1.0
224,2010-3-15 03:36:57,86.69,44.40,6,0.6
225,2010-3-15 03:34:12,86.61,44.37,4,0.4
226,2010-3-14 14:32:54,86.84,43.85,8,0.1
227,2010-3-13 13:30:05,87.01,44.35,7,0.6
228,2010-3-13 07:01:34,86.90,44.26,9,0.5
229,2010-3-12 14:48:52,86.71,43.75,8,1.7
230,2010-3-12 08:46:03,86.84,43.92,8,0.8
231,2010-3-12 05:10:03,86.55,43.58,9,0.4
232,2010-3-12 03:28:15,86.53,44.14,26,0.6
233,2010-3-11 06:24:15,86.64,43.67,8,0.1
234,2010-3-10 08:02:14,86.84,43.92,7,0.2
235,2010-3-10 07:58:16,86.82,43.94,5,0.6
236,2010-3-10 06:21:39,87.24,43.83,7,0.1
237,2010-3-09 20:31:42,86.86,43.96,5,0.3
238,2010-3-09 20:14:24,86.84,43.90,8,0.5
239,2010-3-09 09:56:31,86.88,43.92,1,2.0
240,2010-3-09 07:11:42,87.08,43.92,4,0.2
241,2010-3-08 23:05:50,86.99,44.18,7,0.8
242,2010-3-08 20:26:17,86.81,43.94,8,0.5
243,2010-3-08 19:10:04,86.90,43.71,5,0.3
244,2010-3-08 05:26:08,87.10,44.04,10,0.7
245,2010-3-05 06:31:06,87.35,43.78,9,0.4
246,2010-3-05 01:40:15,86.89,43.74,8,0.2
247,2010-3-03 23:12:37,87.06,43.75,19,0.5
248,2010-3-03 02:05:58,87.02,43.72,9,0.5
249,2010-3-02 16:46:54,87.40,43.67,9,0.7
250,2010-3-02 08:38:26,87.11,43.80,7,0.6
251,2010-3-01 10:05:19,86.80,43.94,8,0.2
252,2010-2-28 15:02:10,86.66,44.24,8,0.5
253,2010-2-28 07:46:51,87.09,43.81,7,0.1
254,2010-2-25 08:19:43,87.14,43.62,7,0.6
255,2010-2-24 23:42:49,87.40,43.70,8,1.3
256,2010-2-24 07:12:31,86.73,43.69,9,0.6
257,2010-2-23 22:39:49,86.75,44.19,7,0.5
258,2010-2-20 15:26:08,86.71,44.24,8,0.1
259,2010-2-20 15:16:56,86.76,44.31,8,0.4
260,2010-2-20 01:24:33,86.73,43.68,13,0.8
261,2010-2-19 22:49:10,86.75,43.66,12,0.2
262,2010-2-19 19:33:13,86.65,43.67,8,0.1
263,2010-2-19 17:12:20,86.77,43.76,8,1.5
264,2010-2-19 16:46:34,86.77,43.79,8,2.6
265,2010-2-18 19:53:55,86.66,44.16,11,0.8
266,2010-2-18 05:24:48,86.74,43.68,6,0.4
267,2010-2-18 05:00:25,86.72,43.69,6,0.1
268,2010-2-17 04:57:05,86.53,44.16,10,0.7
269,2010-2-16 20:16:44,86.54,43.55,3,0.6
270,2010-2-16 15:25:04,86.69,43.66,8,0.6
271,2010-2-11 04:21:43,87.12,43.87,8,0.3
272,2010-2-09 10:43:49,87.19,43.81,7,0.3
273,2010-2-09 07:20:52,86.70,43.65,3,0.4
274,2010-2-08 20:36:50,87.35,43.95,10,0.1
275,2010-2-08 15:18:14,86.73,43.68,3,0.1
276,2010-2-08 14:56:30,86.66,43.66,3,0.1
277,2010-2-07 20:00:26,86.72,43.70,12,0.8
278,2010-2-06 04:08:31,86.65,43.70,4,0.4
279,2010-2-05 14:12:15,87.49,44.08,8,0.1
280,2010-2-04 07:14:04,87.35,43.71,6,0.2
281,2010-2-04 02:55:03,86.54,43.66,6,0.3
282,2010-1-31 08:22:18,86.72,43.68,9,0.1
283,2010-1-30 23:58:15,86.55,43.78,9,0.3
284,2010-1-30 23:30:30,86.52,43.78,6,1.0
285,2010-1-30 19:50:33,87.43,43.96,4,1.0
286,2010-1-28 12:22:58,87.15,43.95,6,0.1
287,2010-1-28 10:07:51,87.12,43.69,8,0.6
288,2010-1-27 12:47:54,87.10,43.84,3,0.4
289,2010-1-26 21:52:38,87.31,43.87,11,0.6
290,2010-1-26 16:38:25,87.50,43.81,6,1.0
291,2010-1-25 05:06:17,86.68,43.67,5,0.1
292,2010-1-24 10:07:24,87.13,43.64,6,0.1
293,2010-1-24 05:57:27,86.66,43.68,8,1.0
294,2010-1-23 22:10:49,86.67,43.64,15,1.3
295,2010-1-23 16:34:08,86.69,43.66,13,1.0
296,2010-1-22 20:09:47,86.65,43.66,6,0.1
297,2010-1-22 18:52:28,86.59,44.41,9,0.6
298,2010-1-21 21:23:23,86.65,43.65,8,0.6
299,2010-1-20 14:47:14,86.52,43.60,8,0.3
300,2010-1-20 04:59:16,86.51,43.50,9,0.8
301,2010-1-20 04:59:00,86.63,43.60,7,0.6
302,2010-1-20 03:36:42,87.11,43.50,8,0.5
303,2010-1-20 00:48:11,86.65,43.52,6,0.6
304,2010-1-19 18:17:29,86.71,43.70,9,0.6
305,2010-1-19 16:04:12,86.70,43.68,9,0.7
306,2010-1-19 15:02:27,86.72,43.71,12,1.1
307,2010-1-19 13:38:15,86.68,43.66,8,0.3
308,2010-1-19 10:37:31,86.69,43.66,9,0.4
309,2010-1-19 09:40:00,86.73,43.72,11,1.6
310,2010-1-19 05:48:49,86.87,43.77,9,0.2
311,2010-1-19 01:04:53,87.09,43.83,13,0.6
312,2010-1-19 00:11:56,86.78,43.66,7,0.2
313,2010-1-19 00:05:32,86.69,43.65,8,1.2
314,2010-1-18 23:10:11,86.79,44.27,8,0.4
315,2010-1-18 22:52:56,86.71,43.69,17,1.1
316,2010-1-18 22:10:05,86.64,43.68,3,0.3
317,2010-1-18 22:06:54,86.67,43.67,7,0.7
318,2010-1-18 21:12:05,86.52,43.57,9,0.1
319,2010-1-18 20:47:15,86.69,43.66,8,1.0
320,2010-1-18 20:10:09,86.64,43.67,11,0.1
321,2010-1-18 20:03:16,86.66,43.66,7,0.2
322,2010-1-18 19:51:11,86.63,43.69,5,0.7
323,2010-1-18 19:45:38,86.50,43.58,7,0.4
324,2010-1-18 19:42:41,86.65,43.64,6,0.4
325,2010-1-18 19:36:47,86.96,43.79,4,1.8
326,2010-1-18 19:35:20,86.72,43.78,8,3.4
327,2010-1-18 13:44:45,86.52,43.53,7,0.4
328,2010-1-18 07:14:47,86.72,43.64,7,0.5
329,2010-1-18 06:32:33,86.71,43.65,8,0.8
330,2010-1-17 08:37:57,87.22,43.69,8,0.8
331,2010-1-16 22:52:17,86.88,43.79,10,1.4
332,2010-1-16 21:44:30,86.90,43.68,5,0.1
333,2010-1-16 19:05:25,86.64,43.68,5,0.3
334,2010-1-16 16:58:53,86.66,43.67,7,1.0
335,2010-1-16 08:22:48,86.74,43.68,10,0.3
336,2010-1-16 08:21:42,86.94,43.73,7,0.2
337,2010-1-16 03:58:36,86.71,43.71,8,1.6
338,2010-1-16 00:49:25,86.86,43.72,9,0.7
339,2010-1-16 00:11:08,86.70,43.68,8,0.3
340,2010-1-15 23:18:08,86.74,43.76,9,2.4
341,2010-1-15 21:45:23,86.63,43.64,5,0.5
342,2010-1-15 21:40:43,86.67,43.66,7,0.1
343,2010-1-15 21:30:15,86.73,43.74,10,1.8
344,2010-1-15 19:43:55,86.63,43.66,7,0.4
345,2010-1-15 17:45:03,86.63,43.65,2,0.6
346,2010-1-15 17:32:26,86.67,43.66,8,0.4
347,2010-1-15 17:30:23,86.72,43.72,8,1.8
348,2010-1-15 17:23:25,86.73,43.74,8,2.2
349,2010-1-15 17:19:30,86.90,43.69,8,0.3
350,2010-1-15 17:14:09,86.66,43.66,5,0.1
351,2010-1-15 17:13:13,86.72,43.64,7,1.1
352,2010-1-15 17:11:39,86.65,43.65,8,0.3
353,2010-1-15 17:09:31,86.55,43.55,6,0.6
354,2010-1-15 17:09:21,86.68,43.69,7,0.3
355,2010-1-15 17:07:20,86.72,43.66,7,0.8
356,2010-1-15 17:04:01,86.70,43.66,11,1.4
357,2010-1-15 17:01:05,86.74,43.77,6,3.3
358,2010-1-14 20:29:03,87.10,43.75,7,1.5
359,2010-1-14 14:41:45,87.03,43.90,7,0.2
360,2010-1-13 23:54:06,87.50,43.73,10,0.1
361,2010-1-12 10:29:43,86.89,43.76,13,0.2
362,2010-1-09 14:02:59,87.10,43.65,7,1.1
363,2010-1-08 20:10:40,86.94,43.71,20,0.3
